"Subject" "ActionName" "Domain" "Sensor" "Motion" "Value"
1 "WALKING" "Fourier" "Accelorometer" "Body" -0.361110723118361
1 "WALKING" "Fourier" "Gyroscope" "Body" -0.385414164031101
1 "WALKING" "Time" "Accelorometer" "Body" -0.270552327111546
1 "WALKING" "Time" "Accelorometer" "Gravity" -0.318633500750846
1 "WALKING" "Time" "Gyroscope" "Body" -0.342358604108551
2 "WALKING" "Fourier" "Accelorometer" "Body" -0.368535578026924
2 "WALKING" "Fourier" "Gyroscope" "Body" -0.45873259398221
2 "WALKING" "Time" "Accelorometer" "Body" -0.297491195866635
2 "WALKING" "Time" "Accelorometer" "Gravity" -0.331740523493315
2 "WALKING" "Time" "Gyroscope" "Body" -0.397282041765947
3 "WALKING" "Fourier" "Accelorometer" "Body" -0.439559452725239
3 "WALKING" "Fourier" "Gyroscope" "Body" -0.51230813173173
3 "WALKING" "Time" "Accelorometer" "Body" -0.327627053408447
3 "WALKING" "Time" "Accelorometer" "Gravity" -0.337062923253506
3 "WALKING" "Time" "Gyroscope" "Body" -0.418830745647212
4 "WALKING" "Fourier" "Accelorometer" "Body" -0.481017339094201
4 "WALKING" "Fourier" "Gyroscope" "Body" -0.566171978625636
4 "WALKING" "Time" "Accelorometer" "Body" -0.37605131812704
4 "WALKING" "Time" "Accelorometer" "Gravity" -0.350847681828986
4 "WALKING" "Time" "Gyroscope" "Body" -0.453278858418345
4 "WALKING_UPSTAIRS" "Fourier" "Accelorometer" "Body" -0.385650255147592
4 "WALKING_UPSTAIRS" "Fourier" "Gyroscope" "Body" -0.490902607128656
4 "WALKING_UPSTAIRS" "Time" "Accelorometer" "Body" -0.28480837845211
4 "WALKING_UPSTAIRS" "Time" "Accelorometer" "Gravity" -0.321637047572712
4 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" -0.402715821229417
5 "WALKING" "Fourier" "Accelorometer" "Body" -0.409861530544456
5 "WALKING" "Fourier" "Gyroscope" "Body" -0.454292861229091
5 "WALKING" "Time" "Accelorometer" "Body" -0.298226297934476
5 "WALKING" "Time" "Accelorometer" "Gravity" -0.327874485026621
5 "WALKING" "Time" "Gyroscope" "Body" -0.388243008575745
6 "WALKING" "Fourier" "Accelorometer" "Body" -0.471465247402719
6 "WALKING" "Fourier" "Gyroscope" "Body" -0.501910408220299
6 "WALKING" "Time" "Accelorometer" "Body" -0.363996184913701
6 "WALKING" "Time" "Accelorometer" "Gravity" -0.350414766919095
6 "WALKING" "Time" "Gyroscope" "Body" -0.426213859479463
6 "WALKING_UPSTAIRS" "Fourier" "Accelorometer" "Body" -0.133603544234072
6 "WALKING_UPSTAIRS" "Fourier" "Gyroscope" "Body" -0.115280729378614
6 "WALKING_UPSTAIRS" "Time" "Accelorometer" "Body" -0.0638965085935331
6 "WALKING_UPSTAIRS" "Time" "Accelorometer" "Gravity" -0.25440569316272
6 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" -0.126544631541654
7 "WALKING_UPSTAIRS" "Fourier" "Accelorometer" "Body" -0.423523986568535
7 "WALKING_UPSTAIRS" "Fourier" "Gyroscope" "Body" -0.461177458945853
7 "WALKING_UPSTAIRS" "Time" "Accelorometer" "Body" -0.303548215230909
7 "WALKING_UPSTAIRS" "Time" "Accelorometer" "Gravity" -0.330361567506856
7 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" -0.382130466302076
8 "WALKING_UPSTAIRS" "Fourier" "Accelorometer" "Body" -0.361869356728477
8 "WALKING_UPSTAIRS" "Fourier" "Gyroscope" "Body" -0.421548705421153
8 "WALKING_UPSTAIRS" "Time" "Accelorometer" "Body" -0.281426821107963
8 "WALKING_UPSTAIRS" "Time" "Accelorometer" "Gravity" -0.323972460803681
8 "WALKING_UPSTAIRS" "Time" "Gyroscope" "Body" -0.362575138193159
